#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89701.3085764	296.63838891	0
100000	-89499.8836279	299.229384193	252
150000	-89645.3773714	300.762535	252
200000	-90095.8947048	300.376367845	252
250000	-89065.1082966	300.351716136	252
300000	-89465.1973512	293.061112247	252
350000	-89527.3261702	303.187945091	252
400000	-88995.4758966	292.420265111	252
450000	-89428.6582374	299.540367667	252
500000	-89318.9242095	298.77779257	252
550000	-89860.530841	296.478925822	252
600000	-90133.3881494	289.555137186	252
650000	-89792.4990724	294.279651956	252
700000	-89669.7685567	297.969393963	252
750000	-89269.1573918	301.503833937	252
800000	-89370.397399	299.65777913	252
850000	-89544.0077982	307.350866465	252
900000	-89799.3617696	295.879226187	252
950000	-89650.1776825	297.03962097	252
1000000	-89723.759629	303.976061535	252
1050000	-89759.6641439	298.080605697	252
1100000	-89723.1229625	297.01789771	252
1150000	-89640.6401964	298.670126208	252
1200000	-89787.4818707	299.216446226	252
1250000	-89590.355908	299.732056514	252
1300000	-89308.0440848	299.071719189	252
1350000	-89980.3908254	305.802950548	252
1400000	-89536.0236111	298.45999776	252
1450000	-89859.4372415	298.623763915	252
1500000	-89524.3112812	309.221160235	252
1550000	-89372.2941764	296.490366587	252
1600000	-89780.2557637	301.287857841	252
1650000	-89759.7523213	295.175394293	252
1700000	-89756.9414186	300.571455366	252
1750000	-89301.6625918	298.652476409	252
1800000	-89456.5917781	302.145076346	252
1850000	-89943.8433056	294.925482041	252
1900000	-89625.2000679	299.455783576	252
1950000	-89418.2885349	296.054777414	252
2000000	-89114.0898867	297.547821177	252
2050000	-89745.5449621	304.517905221	252
2100000	-89872.998653	299.913150674	252
2150000	-88529.3810357	296.476787874	252
2200000	-89297.1520375	300.819725729	252
2250000	-89785.8096835	303.682279571	252
2300000	-89553.4258743	304.721305238	252
2350000	-89711.3498219	295.033839117	252
2400000	-89321.3739421	305.113683145	252
2450000	-89704.9785447	297.549255588	252
2500000	-88979.6551688	303.444612755	252
