#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-93153.6775151	299.163366403	0
100000	-94158.9166873	301.197159615	244
150000	-93537.736009	295.586386162	243
200000	-93384.3377828	300.699314393	243
250000	-93710.7015944	301.227507909	243
300000	-93132.0556989	306.538731496	244
350000	-93210.4518574	300.040729342	245
400000	-93976.68037	304.57806125	245
450000	-93866.2376318	298.06384671	246
500000	-93913.7194032	293.006918581	246
550000	-93656.3541635	297.092621117	246
600000	-93490.9116747	298.300458065	247
650000	-93951.6929985	297.37924635	247
700000	-93060.0610016	302.115547422	247
750000	-93691.5968669	299.772947934	248
800000	-93558.8070238	301.128255707	248
850000	-93279.1086725	295.658688134	248
900000	-93901.5526963	302.810092674	248
950000	-93679.4435228	297.120096503	248
1000000	-94099.0446202	297.04414869	249
1050000	-93469.3514306	303.445823467	249
1100000	-93350.289523	303.36715015	249
1150000	-93830.9127085	295.401404486	249
1200000	-93659.8257706	298.386199875	249
1250000	-93885.9111836	307.968798634	249
1300000	-93413.2723259	296.530197685	249
1350000	-93598.5720424	295.72424735	250
1400000	-93657.0643901	305.997554149	250
1450000	-92582.3162171	302.432989389	250
1500000	-92934.2147296	301.079831153	250
1550000	-94006.8087099	301.346466174	250
1600000	-93343.3801455	302.514218014	250
1650000	-92987.3812336	298.358919387	250
1700000	-93350.1667273	299.541877395	250
1750000	-93721.3057331	297.175983821	250
1800000	-93576.3623702	300.604978613	250
1850000	-93757.4590268	300.327445367	250
1900000	-93536.5473605	296.675175413	250
1950000	-93661.1527429	298.168119784	250
2000000	-93605.2024827	291.734154149	250
2050000	-93783.7698189	306.094229327	250
2100000	-93214.5445756	299.439199273	251
2150000	-93261.1733408	302.331983693	251
2200000	-93977.5604315	297.537108513	251
2250000	-93935.6064177	301.522801845	251
2300000	-93859.1643219	298.735869788	251
2350000	-93761.6880409	300.484674894	251
2400000	-93518.2171826	298.461927768	251
2450000	-93468.7238858	295.530199087	251
2500000	-93087.160679	304.730671909	251
