#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-154845.544674	304.501564446	0
100000	-155057.052443	299.094686409	222
150000	-154858.409921	302.533091883	222
200000	-154765.516177	301.14746437	223
250000	-154307.608927	299.712976258	224
300000	-154412.959952	300.927435545	225
350000	-154607.976992	296.923639309	225
400000	-154052.620612	299.6296724	225
450000	-154181.249275	294.549274167	226
500000	-153642.886302	299.3684305	226
550000	-154495.057216	308.488095285	226
600000	-154368.698881	301.241388892	227
650000	-154623.520835	301.315083079	227
700000	-154205.829093	299.510849834	227
750000	-154154.193381	297.914769412	228
800000	-154082.361069	298.897936847	228
850000	-154260.208388	301.204904567	228
900000	-154226.952337	300.835452093	228
950000	-154707.719756	301.630882277	228
1000000	-154938.416687	306.058156823	229
1050000	-154473.427611	299.461705849	229
1100000	-154743.386248	299.828125954	229
1150000	-154306.590534	296.872175424	229
1200000	-155042.075145	295.185527044	229
1250000	-154264.118045	300.437297735	229
1300000	-154249.664578	297.010235374	229
1350000	-154964.429095	297.803285166	229
1400000	-154355.83572	303.172703852	229
1450000	-154204.352951	301.179818077	230
1500000	-154505.690516	300.606544203	230
1550000	-154419.777646	300.112046021	230
1600000	-155532.916666	302.505408989	230
1650000	-154469.554621	302.203931986	230
1700000	-154552.69644	298.306530676	230
1750000	-154670.859403	300.591326538	230
1800000	-155058.302574	303.307329375	230
1850000	-154239.387379	298.250414564	230
1900000	-154349.16575	302.035598051	230
1950000	-154541.528181	304.722943774	230
2000000	-154755.320568	299.544053938	230
2050000	-154960.763064	301.660994524	230
2100000	-154700.987813	297.655590573	230
2150000	-154718.872831	303.605784783	230
2200000	-154756.7638	300.173807956	230
2250000	-154413.737426	300.546278018	230
2300000	-154798.424237	302.755982813	230
2350000	-154690.563425	300.489921906	230
2400000	-154569.451376	300.001587709	230
2450000	-154229.096603	298.872258782	230
2500000	-154723.701682	300.661258881	230
