#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89702.8810982	300.336744042	0
100000	-88859.4156855	308.71475406	239
150000	-89029.7145153	300.465011424	237
200000	-89089.6930452	295.272532506	239
250000	-89318.8230067	300.242655708	239
300000	-89583.3178018	295.043785245	240
350000	-89400.0406458	296.829232095	240
400000	-89987.5186144	303.082024754	240
450000	-89520.964455	298.670509917	240
500000	-89541.6202685	300.072563578	240
550000	-89129.144401	300.616528412	241
600000	-89702.7585266	299.331242565	241
650000	-88826.2820248	299.55988093	241
700000	-89489.4469223	298.66271784	241
750000	-89345.764847	298.49548835	241
800000	-88762.320441	306.125270073	241
850000	-89188.965364	300.401366253	241
900000	-89179.1178828	300.430434791	241
950000	-88951.0471141	308.945052799	241
1000000	-89440.1290902	298.234778577	241
1050000	-88982.0726765	296.509910099	241
1100000	-89027.3524206	295.402873109	241
1150000	-88518.8596013	301.762728756	241
1200000	-89191.0962291	303.861944812	241
1250000	-89234.3498936	297.767384939	241
1300000	-88900.4040556	298.696956007	241
1350000	-89112.2804681	299.086769616	241
1400000	-89075.020608	295.119013039	241
1450000	-89428.3685364	295.917370066	241
1500000	-89515.6222263	298.657739502	241
1550000	-89208.406035	301.187367362	241
1600000	-89391.5276003	301.050770266	241
1650000	-88951.5999646	304.640566561	241
1700000	-89204.2301959	298.352040268	241
1750000	-89500.0717751	298.419688254	241
1800000	-88937.7825873	305.344924015	241
1850000	-89295.9820934	298.972425933	241
1900000	-89139.0435364	294.527667651	241
1950000	-89087.0480509	301.512195457	241
2000000	-89675.3444558	298.912322222	241
2050000	-88506.3812862	302.196248099	241
2100000	-89688.5417213	299.369442144	241
2150000	-89328.2840178	296.502458182	241
2200000	-89083.6350849	296.787818871	241
2250000	-89077.3543875	299.119872448	242
2300000	-89628.0762996	300.504621573	242
2350000	-89214.6315711	299.2744797	242
2400000	-88997.4469371	295.239065936	242
2450000	-89571.0909907	296.017837783	242
2500000	-89108.9021747	304.990234475	242
