#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-154230.559107	295.855124985	0
100000	-153382.902894	299.206521945	237
150000	-153316.522502	300.779065152	238
200000	-154178.550134	298.85108722	239
250000	-153935.979275	302.054162659	240
300000	-153971.948502	298.094552806	240
350000	-153769.88328	301.557725439	241
400000	-153215.593211	301.67201149	241
450000	-154096.404596	300.434046508	241
500000	-153962.673006	296.476874008	241
550000	-152912.982256	302.121911293	242
600000	-153521.410556	302.010162448	242
650000	-153169.406238	299.934201895	242
700000	-152871.465679	304.41119847	242
750000	-153811.503771	299.278587261	243
800000	-153858.673167	300.665769902	243
850000	-153709.303494	296.768528195	243
900000	-153699.955599	302.3374789	243
950000	-154187.278877	300.431436311	243
1000000	-153618.862494	299.604350336	243
1050000	-153058.020635	300.368588226	244
1100000	-152311.569872	296.199640196	244
1150000	-153865.374635	302.465145221	244
1200000	-153750.475695	297.46103692	244
1250000	-154109.273126	299.663833293	244
1300000	-152956.267711	301.196733566	244
1350000	-153138.126314	301.995720984	244
1400000	-153898.607878	300.564281322	244
1450000	-153115.966193	303.900408244	244
1500000	-153185.760164	299.231709251	245
1550000	-152746.142591	300.420454845	245
1600000	-154175.459427	302.433719797	245
1650000	-153202.183026	299.270275665	245
1700000	-153708.729568	304.915361547	245
1750000	-153543.567645	302.781819873	245
1800000	-153595.389226	296.757494569	245
1850000	-154194.243147	297.889928375	245
1900000	-153958.884481	302.925278503	245
1950000	-153312.73359	303.658593249	245
2000000	-153553.90686	297.664894699	245
2050000	-154099.56276	303.519989583	245
2100000	-153363.950702	298.767164772	245
2150000	-152863.303901	297.052675893	245
2200000	-153661.710128	306.126489891	245
2250000	-153093.09119	301.065801674	245
2300000	-153540.325621	296.959909251	245
2350000	-153616.092108	301.009565108	245
2400000	-153406.109746	304.331645733	245
2450000	-153030.473659	299.624825404	245
2500000	-153694.436175	293.664896609	245
