#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89022.8676713	301.178366092	0
100000	-88446.3114804	305.961714867	242
150000	-88229.2156382	299.037666028	241
200000	-87949.0265424	297.766121639	240
250000	-88470.9017921	302.764760025	241
300000	-88700.7731725	304.395525387	241
350000	-88307.494402	298.756264928	242
400000	-88506.1011021	305.31995048	242
450000	-88536.4661414	298.835439712	243
500000	-88581.5303012	305.291368806	243
550000	-88569.8715817	304.382841763	244
600000	-88518.3404021	309.165980622	244
650000	-88602.6696415	298.068959349	245
700000	-88605.1656381	300.640149057	245
750000	-88464.8757338	290.567293457	245
800000	-88593.3091926	299.775555227	246
850000	-88051.9614336	304.349086127	246
900000	-88661.9246831	300.428385825	246
950000	-88547.5735889	294.57085425	246
1000000	-88200.4577534	297.918670734	246
1050000	-88958.1471714	296.576921849	246
1100000	-88555.6022423	299.534013063	246
1150000	-88373.5957676	301.852116376	247
1200000	-88412.4480057	299.138710407	247
1250000	-88961.0559249	304.465568862	247
1300000	-88707.9982157	297.977485487	247
1350000	-88592.924297	298.517379277	247
1400000	-88780.9609616	298.960333847	247
1450000	-88604.4174477	300.204038594	247
1500000	-88394.8195414	303.076080619	247
1550000	-87872.9091442	302.995735938	247
1600000	-88498.5582225	299.700927737	248
1650000	-88566.9397681	299.657186013	248
1700000	-88617.898193	302.301175613	248
1750000	-88068.5128519	307.020452816	248
1800000	-88201.3111219	297.595524514	248
1850000	-88524.1460861	299.519860637	248
1900000	-88198.3052416	301.932923779	248
1950000	-88594.9877038	295.364821415	248
2000000	-88142.7920022	305.868784986	248
2050000	-88663.5606173	301.363036748	248
2100000	-88875.4372775	301.30177095	248
2150000	-88436.310652	309.776786249	248
2200000	-88297.9223441	301.471218886	248
2250000	-88446.8022289	301.021727131	248
2300000	-88985.5112522	299.349573395	248
2350000	-88590.3320732	297.102928774	248
2400000	-88434.4076776	303.629732456	248
2450000	-88299.4858702	309.512810955	248
2500000	-88427.9627454	299.410695986	248
