#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88556.8929434	300.084755762	0
100000	-88583.6021826	298.400241459	238
150000	-88300.769294	298.055458149	236
200000	-88526.8169323	293.862690501	237
250000	-88702.9878356	303.339974291	238
300000	-88699.4615523	300.436536622	238
350000	-88420.1926628	300.966978264	239
400000	-88387.5425143	300.133500236	239
450000	-88566.0610737	302.760382017	239
500000	-88664.0190535	302.425892532	239
550000	-88485.3582383	306.784505077	239
600000	-89014.6746427	299.681311785	240
650000	-87850.7717277	299.111401619	240
700000	-88682.6742082	298.465058938	240
750000	-88399.8416336	299.336799957	240
800000	-88522.001498	300.647593837	240
850000	-88923.588861	302.779467202	240
900000	-88566.1117211	293.423792815	240
950000	-88496.3625663	290.450619809	240
1000000	-88311.9916502	298.478379306	240
1050000	-88594.2272875	300.953791647	240
1100000	-88820.3530068	303.284312549	240
1150000	-88376.1580338	302.00688792	240
1200000	-88598.250347	299.098098881	240
1250000	-88146.2976478	291.447857443	241
1300000	-88259.968378	295.694923834	240
1350000	-88514.5547839	297.951438565	240
1400000	-88580.4300763	295.467701811	240
1450000	-88728.5959121	294.805353729	240
1500000	-88287.5716555	300.115418039	240
1550000	-88521.057263	304.379589338	240
1600000	-88179.5502069	297.604460237	240
1650000	-88627.6950173	298.027795155	240
1700000	-87925.3533941	301.939056386	240
1750000	-88408.8813031	300.551282464	240
1800000	-88521.9794369	295.875579872	240
1850000	-89150.4351935	301.223384433	240
1900000	-88540.3713642	299.151312222	240
1950000	-88227.2956839	299.351345151	240
2000000	-88581.4853895	301.456685665	240
2050000	-88811.261902	297.068680227	240
2100000	-88606.8428011	303.564259483	240
2150000	-88359.6283008	297.505999024	240
2200000	-88437.8568014	306.286952909	240
2250000	-88643.1513131	302.525150581	240
2300000	-87733.3517597	301.048344414	240
2350000	-88396.1150983	300.351968381	240
2400000	-88091.5850742	298.830466086	240
2450000	-88295.946644	302.019064287	240
2500000	-88051.3208483	300.350769136	240
