#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-153790.930462	300.444123259	0
100000	-154594.383611	300.571476224	220
150000	-154200.488748	296.55999729	220
200000	-154009.690049	300.459250346	219
250000	-154458.611111	303.524176519	220
300000	-153318.388037	301.443950633	220
350000	-153543.348079	300.089209914	220
400000	-154466.183623	303.085603726	221
450000	-154257.017467	303.396296097	221
500000	-154347.35644	295.964029632	221
550000	-154732.529578	298.204444293	221
600000	-153623.11941	301.74256151	221
650000	-153844.561312	296.255878094	221
700000	-153854.213709	296.839284636	221
750000	-153967.126683	303.02490092	221
800000	-153893.61269	291.53159839	222
850000	-154370.656958	298.604463272	222
900000	-153360.600116	301.829563098	222
950000	-153753.800401	300.77999994	222
1000000	-154337.581154	301.51584808	222
1050000	-154479.747128	302.031518521	222
1100000	-153809.330278	300.737596032	222
1150000	-154157.109272	298.725662805	222
1200000	-154059.890868	304.272352923	222
1250000	-153934.791497	298.38161125	222
1300000	-154265.739251	297.84419534	222
1350000	-154184.221133	301.359611629	223
1400000	-154150.811378	300.798658614	223
1450000	-154550.534508	300.736759898	223
1500000	-153775.637789	303.018780774	223
1550000	-153579.672101	294.862513092	223
1600000	-153982.344885	299.377995554	223
1650000	-153752.254828	296.502395049	223
1700000	-154384.131368	301.533371618	223
1750000	-153598.610246	295.773019345	223
1800000	-153990.572621	299.289107177	223
1850000	-154538.318656	295.484519542	223
1900000	-153681.664168	295.720054528	223
1950000	-153642.109968	297.762450676	223
2000000	-153978.635708	298.479246984	223
2050000	-154049.731027	297.96953046	223
2100000	-153800.114332	299.784577099	223
2150000	-153858.056808	302.495455952	223
2200000	-154277.329574	302.518454889	223
2250000	-154004.331375	299.015515349	223
2300000	-154012.572822	296.910222226	223
2350000	-154184.882816	299.121986309	223
2400000	-154167.740419	298.477214288	223
2450000	-153552.738872	297.900399028	223
2500000	-153607.656101	304.845987893	223
