#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89038.6834977	300.524467952	0
100000	-88989.6335755	297.302782029	247
150000	-88557.3002728	302.139885826	246
200000	-88934.6504871	301.821338562	246
250000	-89298.6739353	302.070529406	245
300000	-89047.883411	290.966642094	245
350000	-88890.0192982	304.641696965	244
400000	-88494.2804258	299.592876622	244
450000	-89029.5267967	296.390381725	243
500000	-88889.6097015	293.861299918	243
550000	-88904.5842528	302.12388273	243
600000	-88799.8377755	300.986908235	243
650000	-88840.4997901	296.179070768	243
700000	-88722.0363483	304.738205318	243
750000	-88990.3717727	297.831109522	243
800000	-88799.1807717	302.350175104	243
850000	-88645.4482988	300.16951242	243
900000	-88431.2570346	302.031246504	243
950000	-88457.1721832	303.52661438	243
1000000	-88617.9557874	303.934912787	243
1050000	-88732.8979717	295.788753176	242
1100000	-88831.6585362	296.464474288	242
1150000	-88907.381435	294.863347426	242
1200000	-89037.3812039	303.39528627	242
1250000	-88726.8978381	298.775932511	242
1300000	-88865.7473472	298.028155555	242
1350000	-89071.5896	301.289931621	242
1400000	-89358.4481456	300.410809023	242
1450000	-89400.4041352	299.300493996	242
1500000	-89122.5949998	297.826254757	242
1550000	-88447.0130964	300.76264873	242
1600000	-88522.9651252	303.741171951	242
1650000	-89079.584707	293.912602853	242
1700000	-88586.5095602	300.846143282	242
1750000	-88692.1834896	302.668962434	242
1800000	-88802.356156	300.007591917	242
1850000	-88312.3552393	299.961793471	242
1900000	-89023.6203922	300.420287321	242
1950000	-89466.6103486	295.215802164	242
2000000	-89093.1768709	302.478015908	242
2050000	-88901.6979108	302.846079669	242
2100000	-89086.2514254	299.652316775	242
2150000	-89019.2558502	294.136363566	242
2200000	-88603.4124185	302.286163688	242
2250000	-88761.6072906	301.433773346	242
2300000	-88873.6638113	300.56978022	242
2350000	-88636.3608916	299.562547162	242
2400000	-88583.3629182	298.198557783	242
2450000	-88852.4132532	302.690904882	242
2500000	-88922.6943993	300.955318326	242
