#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-97791.3671572	301.311065611	0
100000	-96984.540752	297.860960848	231
150000	-97140.5663333	299.468380498	232
200000	-97138.7482148	295.373094817	232
250000	-97060.2567059	297.938900042	233
300000	-97694.2262293	300.182635118	234
350000	-97428.5883382	299.177565584	235
400000	-97088.2393876	297.059064967	235
450000	-97573.5085472	302.181754983	236
500000	-97150.3475188	299.379767332	236
550000	-96864.6181325	304.534862278	236
600000	-97504.5257733	303.545659086	236
650000	-97466.0486858	305.804283637	237
700000	-97349.5840396	297.309594103	237
750000	-97173.4151123	299.063952881	237
800000	-97334.9494427	301.35034136	237
850000	-97318.8560403	304.905569846	237
900000	-97380.2897407	297.24495093	237
950000	-97246.4819211	295.349862296	237
1000000	-97154.4630544	295.78987933	237
1050000	-97411.2601722	299.3934587	237
1100000	-97357.9471864	295.012395415	237
1150000	-96980.8079928	299.696751701	238
1200000	-97557.2665203	298.443664496	238
1250000	-97170.5229161	303.506509924	238
1300000	-97091.4297634	302.89343989	238
1350000	-97467.0284183	295.620580736	238
1400000	-97284.523374	299.495003595	238
1450000	-97517.3223865	305.924912818	238
1500000	-97396.628853	304.02016118	238
1550000	-97098.954235	299.210078903	238
1600000	-97573.2096494	305.1215083	238
1650000	-97078.9714421	299.604913003	238
1700000	-97187.1043911	298.747198608	238
1750000	-97510.9279831	299.223882309	238
1800000	-96771.7363198	294.564033531	238
1850000	-97500.0215595	299.11374841	238
1900000	-97005.4475532	299.031011893	238
1950000	-97541.6574487	299.079951541	238
2000000	-96077.2593925	297.309053239	238
2050000	-97394.2424505	299.377893572	238
2100000	-97117.6776031	303.861804209	238
2150000	-97433.9098299	294.437996908	238
2200000	-97304.6909984	303.544470474	238
2250000	-97894.4542433	295.467937776	238
2300000	-96570.8633664	303.870742497	238
2350000	-97091.4419491	298.971760016	238
2400000	-97489.58102	298.666581614	238
2450000	-96855.1309554	298.689573426	238
2500000	-96870.9392142	293.376665387	238
