#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88092.019183	300.679829029	0
100000	-88283.0136944	301.837337369	251
150000	-89035.2608066	301.76991849	251
200000	-87961.9262287	300.467815455	251
250000	-88901.6228734	291.555933481	251
300000	-89131.8568345	296.250622439	251
350000	-88301.3677443	301.476423526	251
400000	-88187.6625751	292.287969988	251
450000	-88641.2771087	301.607889527	251
500000	-88482.2875736	299.474640982	251
550000	-88414.6018889	301.232089059	251
600000	-88345.8363949	301.521835647	251
650000	-88796.6415458	297.784749685	251
700000	-88196.5708351	299.082016526	251
750000	-88847.2194069	300.23210311	251
800000	-88744.2145352	300.570641897	251
850000	-88113.1773229	299.513025739	251
900000	-88657.5759737	297.534092883	251
950000	-88353.2780637	305.930893333	251
1000000	-88721.5840445	302.173190299	251
1050000	-88532.8684744	294.828152451	251
1100000	-88377.5950749	297.124962984	251
1150000	-88550.2693119	298.796926368	251
1200000	-88549.3825955	301.032198188	251
1250000	-88513.8752001	300.582171346	251
1300000	-88529.7724746	301.589766841	251
1350000	-88649.5627018	297.182982159	251
1400000	-88902.2309644	296.716906423	251
1450000	-88888.1418684	297.351103667	251
1500000	-88346.4744232	306.798288794	251
1550000	-88438.9057137	302.656876655	251
1600000	-88565.2231066	301.605174613	251
1650000	-88245.3401089	304.073591469	251
1700000	-88666.0897847	306.1484906	251
1750000	-87840.2650694	300.156930696	251
1800000	-88848.8819339	299.818742888	251
1850000	-88607.5268868	294.311726663	251
1900000	-88158.5232002	301.446857028	251
1950000	-88360.771835	298.605113426	251
2000000	-89116.7147607	300.63263009	251
2050000	-88411.127381	293.32123766	251
2100000	-88365.6374494	301.530599749	251
2150000	-87933.0102474	301.316078862	251
2200000	-88507.5943099	296.164833176	251
2250000	-88421.7532947	302.432596843	251
2300000	-88085.089226	302.79408532	251
2350000	-87822.9932746	297.313165638	251
2400000	-88230.8729599	300.631204847	251
2450000	-88411.0205709	306.671215219	251
2500000	-88619.7684595	299.879649151	251
