#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-100947.979422	295.649058054	0
100000	-100886.968059	299.945991287	226
150000	-100360.170137	298.127450969	227
200000	-100238.011834	299.246458409	228
250000	-100745.998501	306.050701867	229
300000	-100913.709915	300.329808114	229
350000	-101066.610378	307.876705731	230
400000	-100968.987589	296.703926738	231
450000	-100485.315155	291.012958741	232
500000	-100407.210374	303.111978694	232
550000	-101170.056357	296.57839654	232
600000	-100867.976254	301.38841804	233
650000	-100874.029693	301.148743449	233
700000	-101064.872646	300.088619618	233
750000	-101294.021143	302.599877053	234
800000	-100512.553248	299.605671808	234
850000	-101497.545766	303.689737331	234
900000	-100655.484944	297.98812447	234
950000	-100771.884961	296.167573822	234
1000000	-101369.471727	302.648698642	234
1050000	-101073.713223	300.849293018	234
1100000	-100873.672481	301.286321302	235
1150000	-100721.207129	300.78985572	235
1200000	-100540.158418	295.26840572	235
1250000	-100983.35052	301.221626518	235
1300000	-100910.173324	304.672814925	235
1350000	-101101.344912	303.433602122	235
1400000	-100888.032415	304.396848767	235
1450000	-101053.49635	304.611959398	235
1500000	-101061.074489	299.018210151	235
1550000	-100966.218872	306.157257514	235
1600000	-100450.481183	295.305565221	235
1650000	-100316.436393	296.83276221	235
1700000	-100496.504431	296.578186251	235
1750000	-100647.506613	295.863592215	235
1800000	-100621.319076	298.295835999	235
1850000	-100401.101619	300.153320924	235
1900000	-100577.930565	299.538409615	235
1950000	-100832.16936	302.486135854	235
2000000	-100481.888786	292.465493542	236
2050000	-100769.64537	302.288727182	236
2100000	-100870.534588	295.073019298	236
2150000	-100251.623043	299.150013599	236
2200000	-100604.670492	299.399698	236
2250000	-101135.651896	302.345789533	236
2300000	-100529.972026	297.804524685	236
2350000	-100922.006185	299.444700303	236
2400000	-100738.919834	303.94165296	236
2450000	-101048.429951	303.22963127	236
2500000	-100212.787681	298.080348843	236
