#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-114278.338541	302.513695276	0
100000	-114569.361659	300.790800825	287
150000	-114511.489648	301.015755819	285
200000	-113954.151811	297.90657548	286
250000	-114461.878347	303.279633286	287
300000	-114156.177337	302.575802028	287
350000	-113975.802893	300.403529912	288
400000	-113952.14857	301.341109155	289
450000	-114614.938193	305.275443403	290
500000	-114237.4297	298.46758909	290
550000	-115060.752129	305.421051431	290
600000	-114683.71772	303.714751684	291
650000	-114480.537544	303.740257056	291
700000	-114727.841389	301.443275983	291
750000	-114183.51484	302.484228085	291
800000	-113901.004167	300.662825566	292
850000	-114212.597434	301.656028842	292
900000	-114350.621504	297.582572337	292
950000	-114571.056551	303.520286612	292
1000000	-114517.760658	301.067573682	292
1050000	-114370.200267	303.767162643	292
1100000	-114913.711179	297.764572191	292
1150000	-114861.176973	303.361022592	292
1200000	-114383.186442	299.859381729	293
1250000	-114754.744786	296.346001178	293
1300000	-114230.201949	305.010842855	293
1350000	-114676.95598	298.406712809	293
1400000	-115099.707565	293.769896225	293
1450000	-114568.128524	298.747538851	293
1500000	-114456.512281	296.78927722	293
1550000	-114625.115692	296.590152105	293
1600000	-114562.982228	301.041125367	294
1650000	-114582.768315	298.066505439	294
1700000	-114213.836286	297.191484934	294
1750000	-114181.496699	304.693137127	294
1800000	-114695.276534	298.214199709	294
1850000	-114126.933535	297.900863863	294
1900000	-114312.007681	300.479057975	294
1950000	-114587.433892	294.375742616	294
2000000	-114833.488296	299.695868062	294
2050000	-114551.653297	300.825238859	294
2100000	-113834.963745	302.9489323	294
2150000	-113760.941581	302.909379812	294
2200000	-113754.450272	300.365016969	294
2250000	-114352.816994	301.610693872	294
2300000	-114664.387425	294.817521268	294
2350000	-114476.019734	297.435348782	294
2400000	-114074.595516	299.277620532	294
2450000	-113877.276653	297.518952635	294
2500000	-114124.788847	303.90566126	295
