#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89888.019478	301.029717284	0
100000	-89650.2812308	304.658007394	240
150000	-90035.0223119	296.298936617	240
200000	-89623.159771	296.954050094	240
250000	-89964.6559789	298.986228005	240
300000	-90159.9501363	300.635269005	240
350000	-89796.4807403	295.793762947	240
400000	-89887.4626261	301.689248427	240
450000	-89934.8284445	299.199421177	240
500000	-89938.6311542	298.567980809	240
550000	-89989.4690806	302.205568773	240
600000	-89801.069757	296.486506305	240
650000	-89730.3245874	299.271786305	240
700000	-90045.8147389	301.078141761	240
750000	-89925.7123031	301.886725331	240
800000	-89725.6381173	296.724567538	240
850000	-90101.5329887	293.782738698	240
900000	-89890.904015	298.137710613	240
950000	-90021.2161269	304.006799386	240
1000000	-89630.0145212	297.621795876	240
1050000	-89840.6101075	300.175055621	240
1100000	-89926.4099204	297.140278524	240
1150000	-89773.1446216	301.109801085	240
1200000	-89740.1595355	296.829681346	240
1250000	-89582.011709	296.464088268	240
1300000	-89881.9305826	302.356628816	240
1350000	-90359.3749359	301.510436102	240
1400000	-90194.584466	301.778376357	240
1450000	-89929.6372532	301.720593711	240
1500000	-89978.1197993	295.208023524	240
1550000	-89972.3007009	299.298729328	240
1600000	-90097.7501857	294.281515386	240
1650000	-89173.2457212	299.775168803	240
1700000	-89666.2836582	300.207823607	240
1750000	-89660.8309026	304.685673912	240
1800000	-89286.2124163	297.878710356	240
1850000	-89748.6700146	298.143715964	240
1900000	-89655.4265923	298.373467654	240
1950000	-90164.0565393	306.006544862	240
2000000	-90268.0721716	300.443786626	240
2050000	-89435.1456371	299.662020648	240
2100000	-89897.7374927	299.230954177	240
2150000	-89822.9469618	300.88082186	240
2200000	-89949.1087996	299.214674845	240
2250000	-89344.2922168	302.290773239	240
2300000	-90265.2084147	302.891489252	240
2350000	-89495.5269012	295.160043804	240
2400000	-89863.4808653	303.539582936	240
2450000	-90164.496416	297.860228751	240
2500000	-89742.3860536	304.759062057	240
