#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88006.0824068	303.285869552	0
100000	-88171.9511212	297.666321515	254
150000	-88496.8400532	303.211840114	254
200000	-88433.6979934	301.888025139	254
250000	-88544.1304209	303.983458107	254
300000	-88296.0912007	300.263251328	254
350000	-88199.3445959	297.257755738	254
400000	-87890.027585	299.237814207	254
450000	-88687.2972789	293.39204841	254
500000	-87795.7265171	301.144993956	254
550000	-88040.1623043	307.229303278	254
600000	-88051.924011	294.518906173	254
650000	-87877.7148554	300.026473732	254
700000	-88437.4227986	299.001507325	254
750000	-87967.6668132	301.849891061	254
800000	-88641.7007737	301.680014496	254
850000	-88728.0854759	295.677787269	254
900000	-88470.6554099	304.565508656	254
950000	-87950.5150369	293.998732673	254
1000000	-88110.6808653	293.702636154	254
1050000	-88200.5977578	302.990645032	254
1100000	-88644.2592489	301.223035303	254
1150000	-88118.7269674	302.040350714	254
1200000	-88125.7468215	300.230797528	254
1250000	-88508.1089186	298.885566098	254
1300000	-88917.0965561	300.242180059	254
1350000	-87982.3988612	303.033490957	254
1400000	-88263.7888475	299.614209364	254
1450000	-87635.6723637	302.397338296	254
1500000	-88060.7130354	297.452562522	254
1550000	-88608.3026984	296.093615242	254
1600000	-88032.1677148	298.532517443	254
1650000	-88132.1416937	302.292994063	254
1700000	-88130.8611946	300.945271278	254
1750000	-88279.2989449	295.668335687	254
1800000	-88505.7665805	298.354543601	254
1850000	-88076.3234633	298.187409929	254
1900000	-87806.7249892	295.293287857	254
1950000	-87841.1449853	298.501822434	254
2000000	-88190.1799811	298.308007687	254
2050000	-88451.5700952	294.220592475	254
2100000	-87586.1936415	304.357974601	254
2150000	-87994.6541612	297.118771451	254
2200000	-87721.9875956	298.351827054	254
2250000	-88564.6786058	301.693047174	254
2300000	-87599.6733795	303.300490753	254
2350000	-88467.3620555	301.974578957	254
2400000	-88457.8802844	302.608892311	254
2450000	-88398.4883101	304.20641423	254
2500000	-88366.4011214	302.15810972	254
