#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88863.3786732	297.115004041	0
100000	-88645.0177532	300.399222525	252
150000	-89085.7849653	301.674327977	252
200000	-88544.5873647	295.400456083	252
250000	-88562.6567869	297.000350106	252
300000	-88646.6004615	301.252456503	252
350000	-88602.7770429	305.057421748	252
400000	-88562.9275766	300.667645209	252
450000	-88796.9088829	301.931692249	252
500000	-88243.872743	302.117144439	252
550000	-88484.0412905	304.750694519	252
600000	-88793.7349207	304.138943084	252
650000	-88542.4111213	298.616571778	252
700000	-89032.0982125	305.035902387	252
750000	-88652.5316769	296.168019131	252
800000	-88511.3647638	296.753345448	252
850000	-88847.388683	299.90892528	252
900000	-88696.5802765	296.951649031	252
950000	-88461.6271039	302.608557597	252
1000000	-88178.6364118	298.562406982	252
1050000	-88965.5497696	297.225301757	252
1100000	-88441.1976044	307.961092941	252
1150000	-88284.1035006	295.560163013	252
1200000	-88346.0243653	303.024108953	252
1250000	-89218.5137209	298.106766243	252
1300000	-88738.2681583	297.51760295	252
1350000	-88866.444143	305.010295823	252
1400000	-88461.5179587	305.040196252	252
1450000	-88558.2769303	299.310323108	252
1500000	-88503.3638777	293.344021436	252
1550000	-88866.0336404	299.729605087	252
1600000	-88367.0244533	297.386832615	252
1650000	-88642.5477001	303.179294496	252
1700000	-88758.9375142	297.542107718	252
1750000	-88699.430535	296.701280117	252
1800000	-88458.1960168	298.887222184	252
1850000	-88971.7774557	295.117494659	252
1900000	-88491.4411867	301.856270829	252
1950000	-89011.1084619	294.648578739	252
2000000	-89236.7282669	300.364701772	252
2050000	-88607.0356454	294.38427026	252
2100000	-88370.1869677	293.087794163	252
2150000	-88443.399407	298.335597762	252
2200000	-88067.6338098	305.309126755	252
2250000	-88644.9954719	301.591157439	252
2300000	-88826.1678658	302.124902146	252
2350000	-88434.3606045	306.050061691	252
2400000	-89234.4513061	295.86754217	252
2450000	-88517.3916636	302.323626611	252
2500000	-88313.8866318	306.092824518	252
