#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-153491.664326	301.250016009	0
100000	-153298.82113	297.969271123	222
150000	-153744.337191	299.156184344	222
200000	-153809.112063	299.099069919	223
250000	-153339.663135	306.144868751	223
300000	-153573.845025	298.136387781	223
350000	-153788.272477	298.455760776	224
400000	-153734.947475	301.671212706	225
450000	-153194.059759	297.890798616	225
500000	-153757.919404	300.145235795	226
550000	-153382.075456	297.879313313	226
600000	-153561.236517	297.571448412	226
650000	-153688.131839	302.080299863	227
700000	-153906.319376	293.561876829	227
750000	-153709.08822	300.089470762	227
800000	-153010.545295	298.280141883	227
850000	-153797.531888	296.96553989	227
900000	-153245.794244	296.66862418	228
950000	-152390.276957	299.105999036	228
1000000	-153973.860859	300.139929695	228
1050000	-153766.724322	299.573994084	228
1100000	-153286.44133	300.517146967	228
1150000	-153863.925307	299.16641356	228
1200000	-153714.46031	299.331761633	228
1250000	-153683.393075	301.450968669	229
1300000	-153975.987658	301.870775157	229
1350000	-153849.490236	298.218231583	229
1400000	-153703.457295	296.2919315	229
1450000	-153168.069651	297.249569589	229
1500000	-153860.433152	299.287389304	229
1550000	-153564.812415	306.430491304	229
1600000	-154725.543748	298.571585224	229
1650000	-154423.791271	298.526413595	229
1700000	-153515.699163	304.275019696	229
1750000	-153788.253097	298.327693477	229
1800000	-153856.243831	303.142123333	229
1850000	-153459.716785	298.701473109	229
1900000	-153514.471883	298.895945808	229
1950000	-153542.23469	297.033495246	229
2000000	-153786.936795	297.61692827	229
2050000	-153501.967483	305.230741812	229
2100000	-154118.50349	302.056839532	229
2150000	-153613.854875	295.954106456	230
2200000	-153840.371094	303.693040997	230
2250000	-153473.991406	305.966379791	230
2300000	-153738.22352	304.465889328	230
2350000	-154037.039068	298.251894338	230
2400000	-154277.410082	302.77866773	230
2450000	-153322.995741	297.783682149	230
2500000	-153422.483005	303.777119546	230
