#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89687.2548456	299.969828304	0
100000	-89529.7660656	295.368288052	240
150000	-89719.3979001	298.249062476	238
200000	-89913.1456824	303.07220489	239
250000	-90116.8909642	304.885587439	239
300000	-89826.9305351	302.478234627	240
350000	-89844.4643688	297.411094552	240
400000	-89357.8015627	300.41654513	240
450000	-89366.7602952	297.871189714	240
500000	-90024.5995678	298.660953059	240
550000	-89238.7793847	304.132515449	240
600000	-89617.6318085	298.969296038	240
650000	-89674.1700688	298.241398973	240
700000	-89828.2005574	301.43469863	240
750000	-89850.7767333	297.953086287	241
800000	-89714.2975073	307.957799906	241
850000	-89777.0537196	296.319995778	241
900000	-89624.457487	302.962991368	241
950000	-89734.4161184	298.641420328	241
1000000	-89583.8557143	297.301847212	241
1050000	-89854.0737718	296.753251386	241
1100000	-89670.2794793	303.603055387	241
1150000	-89841.5053719	299.610319548	241
1200000	-89254.2424695	298.553708826	241
1250000	-89765.3874949	298.394428138	241
1300000	-90002.5245134	298.190540872	241
1350000	-89482.8626914	294.57727502	241
1400000	-89633.7534656	305.221077477	241
1450000	-90036.1671063	303.637531717	241
1500000	-90127.4776271	300.561269266	241
1550000	-89825.7332276	298.206576116	241
1600000	-89743.0423649	306.641375211	241
1650000	-89762.5242121	297.621818081	241
1700000	-89642.4385356	302.983728348	241
1750000	-89682.1488521	297.549796559	241
1800000	-89742.3303841	297.002942282	241
1850000	-89282.0532198	296.746078277	241
1900000	-89705.1221714	304.834093569	241
1950000	-89973.1323664	300.90302551	241
2000000	-89377.4175344	299.033233233	241
2050000	-89398.4417193	302.622317312	241
2100000	-89243.667167	296.839535843	241
2150000	-89882.2976971	303.635169413	241
2200000	-89516.8044724	303.601490629	241
2250000	-89704.6129287	297.950421841	241
2300000	-89512.0814615	303.871884929	241
2350000	-89542.6805039	297.634920733	241
2400000	-89471.8363613	300.267112834	241
2450000	-89160.2664152	296.467769505	241
2500000	-89682.2789148	299.627451934	241
