#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-70065.088624	296.900087866	0
100000	-69892.7519148	301.046044524	366
150000	-70033.6575082	307.276938815	365
200000	-69685.2991904	299.973871888	363
250000	-69841.860733	295.329838925	362
300000	-70487.9750274	295.751078855	361
350000	-70008.4143768	292.842374082	361
400000	-69882.3613681	299.03917143	360
450000	-70446.0529248	301.240458888	360
500000	-69853.6872532	306.045045309	360
550000	-69812.8828616	298.067331346	359
600000	-70450.1754307	297.002977815	359
650000	-70087.6752423	299.019638628	359
700000	-70113.3155012	304.979991897	359
750000	-70180.8555051	297.872262368	359
800000	-69983.6037452	299.80938112	359
850000	-70279.1253234	301.038141585	359
900000	-70170.3267171	301.488564115	359
950000	-70196.7998522	296.727261958	358
1000000	-70311.9825681	296.379340018	358
1050000	-70209.5918769	301.154043523	358
1100000	-70271.5663032	303.173506759	358
1150000	-70310.7801189	305.001493013	358
1200000	-69884.6131638	304.904892934	358
1250000	-70068.4304435	291.509564941	358
1300000	-70511.9086194	296.539453903	358
1350000	-69683.564946	293.366365417	358
1400000	-69882.5661883	296.329288227	358
1450000	-70148.6645486	297.799834282	358
1500000	-70078.5961859	297.135651367	358
1550000	-70251.1590383	292.227139488	358
1600000	-70310.5495114	305.481665349	358
1650000	-69806.6670106	297.931808751	358
1700000	-70038.5479981	300.711547406	358
1750000	-70143.7878498	298.313257247	358
1800000	-70254.5458588	301.617148836	358
1850000	-70262.6118057	298.830190256	358
1900000	-69700.6472258	299.328550716	358
1950000	-70471.6009701	296.103821237	358
2000000	-69811.8604722	294.301994185	358
2050000	-69654.7173504	290.616021602	358
2100000	-69969.3647489	299.788433534	358
2150000	-70159.7264843	301.657795081	358
2200000	-70136.3675946	298.091630073	358
2250000	-70439.6233304	297.580675814	358
2300000	-69906.2020338	305.529048973	358
2350000	-69912.7292113	295.495820595	358
2400000	-70208.9528384	295.413990506	358
2450000	-70338.1725101	302.51267829	358
2500000	-70288.1189244	304.803422158	358
