#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-154214.293736	297.311292494	0
100000	-153695.909339	300.995828062	224
150000	-154290.735817	296.753901502	227
200000	-154085.849685	295.510281393	228
250000	-153921.974213	300.766397662	229
300000	-153379.883163	301.836622868	230
350000	-154268.411529	299.764933177	230
400000	-154309.137133	302.936610509	231
450000	-154388.017389	295.822996002	231
500000	-154220.408156	298.39160725	232
550000	-154258.40424	295.423957078	232
600000	-154219.526577	300.719418936	233
650000	-154040.218527	301.322161201	233
700000	-154460.131711	297.733779063	233
750000	-154117.207441	294.652799597	234
800000	-154365.243307	300.404767038	234
850000	-154057.19856	301.783102294	234
900000	-153289.705568	295.852796601	234
950000	-153692.684977	297.038545667	235
1000000	-154221.745733	302.791377628	235
1050000	-153718.938281	304.015437324	235
1100000	-153341.33265	296.997342805	235
1150000	-154426.048771	301.096925272	235
1200000	-154136.841481	303.641557886	236
1250000	-154207.444753	301.864030858	236
1300000	-153986.009207	305.20322249	236
1350000	-153856.02805	297.317312166	236
1400000	-153938.088972	302.525122863	236
1450000	-154649.327545	305.256622439	236
1500000	-154518.972764	301.105375429	236
1550000	-153718.15456	301.684100189	237
1600000	-154574.08315	303.180983258	237
1650000	-154379.521961	296.631025341	237
1700000	-153916.443554	302.249213759	237
1750000	-154293.184241	297.303808376	237
1800000	-153463.694627	296.661120094	237
1850000	-154380.604992	299.938839408	237
1900000	-153662.468909	300.59349374	237
1950000	-154202.654948	299.322316081	238
2000000	-153546.805901	298.976794642	238
2050000	-154588.82155	300.920275928	238
2100000	-154928.009445	309.521493018	238
2150000	-154328.993789	296.533619406	238
2200000	-154232.009674	299.651207546	238
2250000	-154325.122087	298.014523345	238
2300000	-153901.017999	298.74962129	238
2350000	-154297.936046	296.889371741	238
2400000	-154595.63512	298.691431662	238
2450000	-153699.285042	299.423402834	238
2500000	-154307.593842	295.130900215	238
