#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-153490.943317	300.652204534	0
100000	-153219.246649	294.314745496	228
150000	-153124.652715	298.028655027	228
200000	-153543.362461	300.852520532	230
250000	-153573.930443	303.203314519	231
300000	-152817.067304	299.116315697	231
350000	-152538.921603	297.766346572	232
400000	-153616.95699	304.335573979	233
450000	-153030.691326	302.405990209	233
500000	-152803.298906	301.049776108	234
550000	-153489.962881	297.374251457	234
600000	-152617.241854	301.512499223	235
650000	-152775.700772	305.005914675	235
700000	-153343.509172	302.822729841	236
750000	-153092.799005	297.411540503	236
800000	-153391.658476	297.957616465	237
850000	-152838.227949	299.424278395	237
900000	-154075.11569	296.081059022	237
950000	-153634.776193	299.525970119	237
1000000	-153071.450375	298.551394598	237
1050000	-153124.082262	300.53169451	238
1100000	-153444.647284	302.56886006	238
1150000	-153611.73137	299.331310825	238
1200000	-153099.136755	297.958282091	238
1250000	-153419.092287	300.528905064	238
1300000	-153127.19691	303.073490736	238
1350000	-153198.374314	301.645416894	239
1400000	-153535.320836	302.536248916	239
1450000	-153040.012016	301.407173906	239
1500000	-153263.911376	304.764694008	239
1550000	-152810.046833	299.526535183	239
1600000	-153641.954906	301.142156966	239
1650000	-153622.419634	301.171978469	239
1700000	-153498.860497	302.182278931	239
1750000	-153364.065634	297.93854348	239
1800000	-153254.891901	295.953184921	239
1850000	-153559.341423	296.248672193	240
1900000	-153671.4435	299.238269417	240
1950000	-153469.827727	299.293950323	240
2000000	-153228.166476	297.557218348	240
2050000	-153517.688942	299.179305182	240
2100000	-153573.587288	299.424321506	240
2150000	-153130.86424	298.208024284	240
2200000	-153884.269371	297.114048756	240
2250000	-153431.116541	300.176943669	240
2300000	-154494.867036	301.045592441	240
2350000	-153905.642647	300.444335035	240
2400000	-153829.340484	298.286484787	240
2450000	-153275.401866	298.92618607	240
2500000	-153353.28844	301.616799585	240
