#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89384.2115288	304.361742888	0
100000	-89665.8769221	296.219601938	243
150000	-90296.1441502	302.439156383	241
200000	-89577.3730812	303.580515731	242
250000	-89721.9130912	298.628921971	243
300000	-89611.7467878	305.650232498	244
350000	-89701.786904	302.297851862	244
400000	-90277.0503386	295.408947247	245
450000	-89750.8979234	298.772427018	245
500000	-89534.2167638	304.387115323	246
550000	-89722.8283151	305.308284815	246
600000	-90127.8622119	297.311623991	246
650000	-90009.6070829	298.61056305	247
700000	-89602.7242359	298.803416586	247
750000	-90283.2517391	297.904722936	247
800000	-89441.437995	299.487676391	247
850000	-89507.9229197	297.715249111	247
900000	-89872.6931482	301.424900986	248
950000	-89969.1775119	298.678395815	248
1000000	-89946.5576383	303.506919826	248
1050000	-89438.1732255	300.937114317	248
1100000	-89719.5371778	296.482574521	248
1150000	-89853.2197556	307.499881791	249
1200000	-90244.1873362	306.424569842	249
1250000	-89466.5679954	306.737584242	249
1300000	-90030.002729	301.355634559	249
1350000	-89828.5287046	292.700343695	249
1400000	-89207.3167791	303.013793332	249
1450000	-89918.1217748	299.333654089	249
1500000	-89515.955322	291.498496747	249
1550000	-89739.0779988	295.045043721	249
1600000	-89988.5253202	301.7811683	249
1650000	-89937.7493784	291.971646526	249
1700000	-89448.1306057	296.316938463	249
1750000	-89638.7648262	301.301824192	249
1800000	-89799.6320704	305.023924731	249
1850000	-89513.8654588	305.736903445	250
1900000	-89783.3460411	299.982755198	250
1950000	-89873.9424286	300.552060566	250
2000000	-89740.7726606	297.914541228	250
2050000	-90315.0920048	297.981065596	250
2100000	-89695.1063679	305.831268221	250
2150000	-90343.6823752	305.29930097	250
2200000	-89582.5588871	299.69873263	250
2250000	-89748.2484139	305.288528389	250
2300000	-90008.5541632	296.330601575	250
2350000	-89734.5860944	300.923607835	250
2400000	-90133.3020229	299.760041364	250
2450000	-89726.2130292	305.945313022	250
2500000	-89818.8313796	301.148017729	250
