#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88995.6544457	300.985101607	0
100000	-88630.8350363	308.03998644	259
150000	-88860.8004476	297.277836528	257
200000	-89044.2478964	302.860195469	256
250000	-88824.0626318	298.261218045	255
300000	-89185.2010785	299.98224058	255
350000	-89185.4158404	297.81495012	255
400000	-88381.703839	303.476627565	254
450000	-88764.2735786	304.404225891	254
500000	-88898.6699241	296.486297118	254
550000	-88570.2008983	299.776498279	254
600000	-88684.1854533	301.350681411	254
650000	-88413.9299714	297.225707803	254
700000	-89063.1597162	297.838730057	254
750000	-88579.6300719	303.605816098	254
800000	-88603.5203589	301.807622697	254
850000	-88718.2641218	301.373631302	254
900000	-89001.8630864	297.889433306	254
950000	-89078.0338398	296.834768716	254
1000000	-88844.8985444	302.684158878	254
1050000	-88050.4163035	302.186733192	254
1100000	-88664.0210624	297.509225973	254
1150000	-89056.2440668	304.700960786	254
1200000	-88529.9620486	296.036851315	254
1250000	-88787.2955997	304.864331597	254
1300000	-88645.4869878	300.970493113	254
1350000	-88709.4384163	302.347501669	254
1400000	-88936.2530567	302.698973911	254
1450000	-89051.5744559	301.469940278	254
1500000	-88755.0784292	302.189077103	254
1550000	-88419.2992188	299.199504844	254
1600000	-88542.2881738	295.118222381	254
1650000	-88736.1515466	295.688426669	254
1700000	-89002.4457358	300.121849323	254
1750000	-89523.036856	303.605899773	254
1800000	-88186.9997816	302.33549258	254
1850000	-88592.3516495	304.480984623	253
1900000	-89439.4610112	295.362597433	253
1950000	-88399.2619012	298.652107242	253
2000000	-89073.2094615	305.149399662	253
2050000	-88796.7101271	303.498357253	253
2100000	-88711.9119172	303.001892884	253
2150000	-88618.5750723	296.382534345	253
2200000	-88449.5834131	303.37249747	253
2250000	-88690.0618789	302.486469235	253
2300000	-88730.5382316	302.21428635	253
2350000	-88366.2789183	299.121193628	253
2400000	-88548.3167743	303.166658294	253
2450000	-88361.6496219	299.643567778	253
2500000	-89154.4233401	301.035811555	253
