#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-153769.773145	304.821165697	0
100000	-153358.223614	298.298231049	236
150000	-152908.966574	297.597136182	237
200000	-153521.604759	296.40472773	238
250000	-153443.403161	299.140646885	239
300000	-153297.982149	298.089285836	240
350000	-152918.49898	301.170546245	240
400000	-152696.815683	296.112216757	241
450000	-153506.108106	297.172382045	241
500000	-153200.578626	295.205966413	242
550000	-153698.419539	296.926927788	242
600000	-153123.81907	297.523292641	242
650000	-153492.867262	299.613464478	243
700000	-153430.448827	301.835820951	243
750000	-152638.969019	302.284926873	243
800000	-153955.772153	296.708617223	244
850000	-152659.34749	299.100943709	244
900000	-153707.388625	296.999859605	244
950000	-153469.017126	303.855066803	244
1000000	-152796.249627	297.995101837	244
1050000	-152899.920731	300.143810353	244
1100000	-152413.469858	295.774531949	245
1150000	-153155.029992	298.6958669	245
1200000	-152983.300182	297.917377189	245
1250000	-153273.814398	299.983364229	245
1300000	-153272.392928	298.433402687	245
1350000	-153891.973821	300.920599795	245
1400000	-153459.743499	298.502269771	245
1450000	-153256.43405	294.989589626	245
1500000	-152867.26564	297.622375231	245
1550000	-152423.106473	298.377124808	245
1600000	-153693.925643	300.308663091	246
1650000	-153261.348381	298.569953595	246
1700000	-153609.022271	299.702114302	246
1750000	-153434.917033	303.553031995	246
1800000	-153167.517617	301.383238748	246
1850000	-152537.998341	298.350568319	246
1900000	-153306.738189	297.685898027	246
1950000	-153141.922417	297.169023312	246
2000000	-153978.015351	303.99003022	246
2050000	-153743.088476	296.961182404	246
2100000	-153482.304894	300.755146757	246
2150000	-153803.865501	300.441993685	246
2200000	-153596.798654	304.485551213	246
2250000	-154260.153978	302.240666515	246
2300000	-153702.429215	294.70355458	246
2350000	-153244.233364	301.08919366	246
2400000	-153351.002749	303.038773911	246
2450000	-152846.970195	305.290304811	246
2500000	-153765.740193	300.996930836	246
