#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88518.3589526	304.544567423	0
100000	-88447.4493106	305.378104781	253
150000	-88336.8689595	304.318254987	253
200000	-88469.4278906	295.709312435	252
250000	-88789.7665176	304.989329335	252
300000	-88758.4246071	296.74025677	252
350000	-88042.7501249	296.998465204	253
400000	-88401.2200052	299.416295303	252
450000	-88316.3714831	298.181830774	252
500000	-88383.9703867	298.554157844	252
550000	-89048.3556082	305.360607354	252
600000	-88846.2930538	296.696291143	252
650000	-88154.9690303	300.439449946	252
700000	-88393.1111838	303.399874315	252
750000	-88670.5947139	301.625115631	252
800000	-88297.5560997	302.11689358	252
850000	-88238.3545228	294.738832667	252
900000	-88426.615142	294.502424154	252
950000	-88620.0461243	306.486998319	252
1000000	-88168.3335501	300.761109707	252
1050000	-88368.2009699	297.273405997	252
1100000	-88674.0908634	300.092322985	252
1150000	-88258.4383307	300.675027502	252
1200000	-88569.9216966	299.698724915	253
1250000	-88212.2976833	294.519390742	253
1300000	-88445.024378	300.11865843	253
1350000	-88595.3129957	298.060710881	253
1400000	-88650.2045052	295.477493044	253
1450000	-88371.8037281	295.318114339	253
1500000	-88371.8504593	297.250424959	253
1550000	-88238.6722064	301.136227376	253
1600000	-88441.9881142	300.17650429	253
1650000	-88671.7391395	295.380166303	253
1700000	-88475.7493922	296.84213915	253
1750000	-88387.7059068	304.474040618	253
1800000	-88122.900273	299.973983888	253
1850000	-88262.4923358	302.303876235	253
1900000	-88882.2625652	293.833450548	253
1950000	-88974.9314797	301.058043877	253
2000000	-88737.2630108	295.825050462	253
2050000	-88617.450911	303.063881286	253
2100000	-88298.1099206	297.728441649	253
2150000	-88621.7461902	301.987036764	253
2200000	-88025.3668621	299.562695083	253
2250000	-88693.4438795	305.018111045	253
2300000	-88472.6427051	300.353999147	253
2350000	-88331.6888889	295.451375206	252
2400000	-88501.5277399	292.135986415	252
2450000	-88195.4546687	298.908908478	252
2500000	-88202.1541366	295.550106645	252
