#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-154331.050098	300.852592649	0
100000	-153629.962565	299.860779611	219
150000	-153707.620359	297.454155644	219
200000	-153431.09347	298.783602365	219
250000	-153771.8099	298.833754171	220
300000	-154094.470118	301.397582025	220
350000	-153695.205435	301.428967145	221
400000	-153897.577793	305.560159747	221
450000	-153789.418149	301.011469422	221
500000	-153736.723601	301.459758122	222
550000	-153916.90703	299.001777139	222
600000	-153337.945781	300.150231303	222
650000	-153141.544485	301.143217407	223
700000	-154002.827236	298.229821551	223
750000	-153509.656626	305.312285454	223
800000	-153342.215091	299.029419372	223
850000	-153816.434583	300.868027875	223
900000	-153874.125058	298.8207254	223
950000	-153902.029453	302.70571908	224
1000000	-154021.611934	298.869753156	224
1050000	-153877.636278	296.989661538	224
1100000	-154052.777274	295.976247339	224
1150000	-153271.462608	299.510693653	224
1200000	-154088.144238	301.654454567	224
1250000	-153743.459117	300.528441661	224
1300000	-154008.963372	297.894750369	225
1350000	-153274.220776	298.348376453	225
1400000	-153521.538131	297.368388358	225
1450000	-153999.630092	299.853090959	225
1500000	-153670.223568	299.892540996	225
1550000	-153337.367635	305.830461253	225
1600000	-154149.074694	296.221873576	225
1650000	-153416.29497	297.72812153	225
1700000	-153654.733219	298.187417736	225
1750000	-153690.426665	299.681243794	225
1800000	-154176.870047	299.883347492	225
1850000	-153089.34893	306.327908245	225
1900000	-153889.425229	302.784281143	225
1950000	-154013.579334	300.080891383	225
2000000	-154110.930026	302.430939716	225
2050000	-153851.981152	298.875721818	226
2100000	-153204.74269	299.161952351	226
2150000	-153107.300485	300.043295972	226
2200000	-153224.331672	297.312337128	226
2250000	-154152.416035	298.028030656	226
2300000	-153735.434764	298.627624291	226
2350000	-153230.103051	299.728640332	226
2400000	-153812.011205	296.665163653	226
2450000	-153142.445042	302.220467114	226
2500000	-153499.274835	304.76189925	226
