#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-153975.351069	295.656449012	0
100000	-154641.876149	295.164085575	234
150000	-153746.670601	299.886426064	234
200000	-153971.15531	298.740067629	235
250000	-154376.914541	299.431736048	236
300000	-154212.089308	305.177653352	236
350000	-153426.1251	301.586014268	237
400000	-154614.438132	304.002772757	238
450000	-154471.047538	297.970162969	238
500000	-153795.280137	302.043321961	239
550000	-153588.894741	298.304640774	239
600000	-153544.896942	303.029110875	240
650000	-154039.622794	300.362217631	240
700000	-153664.468267	302.284006834	240
750000	-154625.66307	300.787601869	240
800000	-153828.065942	298.391770077	241
850000	-153667.61158	298.248427672	241
900000	-154137.872151	299.297481609	241
950000	-154139.711406	299.199402152	241
1000000	-153970.309871	299.867330929	242
1050000	-153736.539017	299.865987716	242
1100000	-153431.529269	298.948434419	242
1150000	-154282.708395	294.593503777	242
1200000	-154192.850861	307.171099438	242
1250000	-153786.85085	299.064030127	242
1300000	-153760.51091	298.66077941	242
1350000	-154251.940221	296.999487799	243
1400000	-154446.514848	297.502250037	243
1450000	-154489.129113	297.903511379	243
1500000	-154154.699283	298.464762183	243
1550000	-153658.035467	295.260887688	243
1600000	-154066.586415	301.663904459	243
1650000	-153925.642251	301.22195561	243
1700000	-154026.545808	299.158525476	243
1750000	-153709.553473	298.157868836	243
1800000	-153709.45961	299.356307	244
1850000	-153951.834054	300.670046495	244
1900000	-154557.226606	296.893417328	244
1950000	-154253.515709	300.653101365	244
2000000	-153590.265643	300.627616528	244
2050000	-154177.961033	297.826322784	244
2100000	-153735.862853	298.707969297	244
2150000	-153496.871885	300.660575811	244
2200000	-153796.278866	295.264625888	244
2250000	-153965.785881	301.350584538	244
2300000	-153515.83796	303.527323301	244
2350000	-154143.393108	293.641726854	244
2400000	-153948.781009	294.319015141	245
2450000	-153823.202187	302.337853187	245
2500000	-154365.986823	296.228855745	245
