#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88654.9610763	297.63919239	0
100000	-89686.428692	302.392182364	243
150000	-89433.5594848	298.40294051	242
200000	-90101.560149	293.150435909	243
250000	-89451.5442847	297.038636884	244
300000	-89499.1461719	294.845166559	245
350000	-89310.7138024	295.036641177	245
400000	-89532.7512127	297.902150653	246
450000	-89312.9643239	302.400484582	246
500000	-89572.3679433	302.060582826	247
550000	-89351.5992474	307.888019281	247
600000	-89376.1705457	299.098919857	247
650000	-89616.5727252	293.361325244	248
700000	-89458.3567742	297.945219462	248
750000	-89540.6804486	297.458215726	248
800000	-89573.61674	300.086972353	248
850000	-89060.7826887	303.917806953	249
900000	-89402.6784557	303.020580466	249
950000	-89036.0776551	306.825473831	249
1000000	-89458.6991394	296.308691031	249
1050000	-89850.633522	306.33519123	249
1100000	-89289.0044298	304.89173046	249
1150000	-89952.5593474	300.277749489	250
1200000	-89302.2658002	300.971951565	250
1250000	-89509.6114722	299.532002728	250
1300000	-89700.862899	290.66852593	250
1350000	-89136.1392551	297.820243133	250
1400000	-89780.6371556	309.045208239	250
1450000	-90032.58503	304.638436003	250
1500000	-89183.0621403	298.656750289	250
1550000	-89496.6200063	298.171959425	250
1600000	-89737.0250717	296.732330411	250
1650000	-89660.0308286	304.856377459	250
1700000	-89966.9791422	301.811363633	250
1750000	-89527.0505426	293.784821472	250
1800000	-89475.7049039	294.66146021	250
1850000	-89256.6057771	305.767829583	250
1900000	-89408.5783703	305.111927865	250
1950000	-89463.8529544	305.214366179	250
2000000	-89205.1226551	298.856608849	250
2050000	-89068.0035714	292.440235671	251
2100000	-89619.7187633	298.01445257	251
2150000	-89682.0931016	294.28256831	251
2200000	-89214.7059181	301.849195411	251
2250000	-89099.6842205	299.701983339	251
2300000	-89709.9275282	299.378063448	251
2350000	-89612.7989933	293.999110264	251
2400000	-89572.8201511	301.980303882	251
2450000	-89446.3049058	301.904957418	251
2500000	-89235.933553	303.221416847	251
