#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-152900.960236	298.077376114	0
100000	-153485.389241	298.17911812	222
150000	-153253.650967	301.167591942	221
200000	-153479.811001	300.392487279	222
250000	-153935.374468	301.166358126	222
300000	-153509.976149	293.600115972	222
350000	-153055.003674	302.473434938	223
400000	-153125.754899	297.356464805	223
450000	-153376.08465	303.53123516	223
500000	-154003.163379	299.2889177	224
550000	-153575.143203	298.410081146	224
600000	-153447.738332	294.477993151	224
650000	-153505.195092	302.805015981	224
700000	-153943.537591	296.513447104	225
750000	-153451.214549	296.444872706	225
800000	-153437.324565	300.42929489	225
850000	-153168.190269	298.92961568	225
900000	-153833.039034	296.285394942	225
950000	-154043.464932	296.936506652	225
1000000	-154107.769148	295.485918826	225
1050000	-153350.042246	300.642420971	225
1100000	-153573.773681	301.862111865	225
1150000	-153495.501024	300.996130311	226
1200000	-153761.973702	299.92382992	226
1250000	-153628.586732	303.055683541	226
1300000	-154003.49584	308.592829817	226
1350000	-153479.394316	293.846420862	226
1400000	-153425.509231	294.000020272	226
1450000	-152860.61137	299.171509226	226
1500000	-153267.378093	298.381171958	226
1550000	-154026.611924	303.928104622	226
1600000	-153691.858633	295.163004264	226
1650000	-153261.218658	304.234900087	226
1700000	-153477.995797	300.131690427	226
1750000	-152889.851332	299.224102942	226
1800000	-153100.853529	301.709115528	226
1850000	-153710.069545	300.992080602	226
1900000	-153170.612777	299.563801482	226
1950000	-153801.825925	301.564833537	226
2000000	-153532.398577	301.317631476	226
2050000	-153635.161578	295.250009691	226
2100000	-153367.892621	299.435272718	226
2150000	-153546.80184	299.520674963	226
2200000	-153362.83214	296.692402646	226
2250000	-153498.065873	301.432514927	226
2300000	-153788.91736	297.142626974	226
2350000	-153692.015597	306.236659205	227
2400000	-153444.504467	300.524503377	227
2450000	-154112.922934	299.1328592	227
2500000	-153667.52659	298.798639856	227
