#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88909.2405974	297.332523861	0
100000	-89237.452337	299.116314437	243
150000	-89411.3818106	306.555399593	243
200000	-89129.5868337	300.277341261	242
250000	-88791.4100918	298.984497761	242
300000	-89088.9698555	298.274152598	242
350000	-88783.2309927	301.225593702	242
400000	-88360.9368023	298.916114847	242
450000	-89065.7233006	295.6935897	242
500000	-88906.5909909	296.065383754	242
550000	-89078.1504953	302.836758543	242
600000	-88752.7437685	301.64311938	242
650000	-88718.4058951	299.472891703	242
700000	-88726.7176448	297.605398037	242
750000	-89330.0389823	300.718922669	242
800000	-88724.5179159	306.763699973	242
850000	-88890.7737331	302.624197743	242
900000	-88783.7622478	297.611978507	242
950000	-88898.1188877	297.680169614	242
1000000	-88538.2545774	296.296744817	242
1050000	-88398.7735724	300.886304376	243
1100000	-88689.3113428	304.610963349	243
1150000	-88982.2562256	296.9922078	243
1200000	-88647.9207314	299.004945247	243
1250000	-89011.2226127	299.461394225	243
1300000	-89331.544959	301.891655576	243
1350000	-89661.2616517	297.356728711	243
1400000	-88213.8843256	297.212392998	243
1450000	-89094.3886454	295.881876004	243
1500000	-89421.756311	301.60139875	243
1550000	-89661.2664412	295.516819966	243
1600000	-89001.5191348	303.064261768	243
1650000	-88757.1009892	300.502044163	243
1700000	-88591.33406	299.512900135	243
1750000	-88989.1822126	300.704217542	243
1800000	-89191.1508268	292.014782401	243
1850000	-88961.0682453	295.55784078	243
1900000	-88750.9650921	300.921576178	243
1950000	-89080.9060363	307.394910159	243
2000000	-88696.9024578	303.705369986	243
2050000	-89412.6620389	297.190169226	243
2100000	-89043.2371353	298.595715476	243
2150000	-88620.5045431	296.279833151	243
2200000	-88739.0285781	300.923664665	243
2250000	-89588.1862564	298.809486991	243
2300000	-88959.4166213	301.446664404	243
2350000	-88789.1289475	300.14144247	243
2400000	-88921.2659057	294.684391106	243
2450000	-88896.0301313	301.541684711	243
2500000	-89065.2129732	301.829383284	243
