#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89412.7170627	301.311745859	0
100000	-89025.3093019	294.76773374	238
150000	-88861.9990111	299.786027884	236
200000	-88639.057825	302.562990158	238
250000	-88877.6994483	300.073274621	238
300000	-88869.5519842	294.389905382	239
350000	-88942.4564416	296.193913339	240
400000	-89161.8084193	297.15714568	240
450000	-88664.2412943	296.922272146	240
500000	-89174.8742957	308.120833122	240
550000	-89393.8985496	293.952031017	241
600000	-88677.1288066	295.84733748	241
650000	-89023.0440158	302.613089467	241
700000	-89059.1935719	297.837838586	241
750000	-89441.0922263	293.062455307	241
800000	-89557.2430738	302.17722892	241
850000	-89261.0207145	300.965148424	241
900000	-88823.590531	294.831871497	241
950000	-88358.6756517	301.110826644	241
1000000	-88948.6319233	295.842170867	241
1050000	-88823.0358389	299.390002496	241
1100000	-88871.0665954	304.004654214	242
1150000	-89080.3985686	294.873092908	242
1200000	-89267.2398596	300.834428545	242
1250000	-88772.9025858	296.855105186	242
1300000	-89337.5322942	301.798744221	242
1350000	-89622.1624757	302.608467279	242
1400000	-88856.0068671	298.317951782	242
1450000	-89365.2828671	298.766875867	242
1500000	-88918.1213764	293.580836432	242
1550000	-89086.4469501	303.045998722	242
1600000	-88877.4466028	302.913032102	242
1650000	-89045.1158686	300.642078441	242
1700000	-89398.7802085	306.430488338	242
1750000	-88868.3594493	299.47859497	242
1800000	-89316.2151886	290.672820689	242
1850000	-89341.8857628	300.996484502	242
1900000	-89116.7611857	303.196757092	242
1950000	-88986.9077913	298.841131172	242
2000000	-89249.951336	300.639740982	242
2050000	-89198.8009584	299.503482847	242
2100000	-89317.5073312	302.713304642	242
2150000	-88670.7521988	303.086962775	242
2200000	-88845.3060316	300.684009689	242
2250000	-88747.8261538	296.894673869	242
2300000	-89158.3695048	302.710708771	242
2350000	-89100.5742204	301.439983668	242
2400000	-89275.244086	300.579810033	242
2450000	-88802.2672195	299.801352857	242
2500000	-88913.1462633	297.571919458	242
