#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88646.1437875	296.660239762	0
100000	-88534.027188	304.272852066	239
150000	-88636.7200903	296.429794091	237
200000	-88740.7846511	294.592285444	238
250000	-88687.1491058	301.134270979	239
300000	-88787.3763795	298.098367558	239
350000	-88569.811614	302.874443077	239
400000	-88503.5241275	299.783230198	239
450000	-88376.4245809	300.646222067	239
500000	-87900.9820369	301.179872098	240
550000	-88678.544653	300.664122551	240
600000	-88508.6965389	299.946270185	240
650000	-88714.824982	300.494871153	240
700000	-87829.2490113	295.683844446	240
750000	-88141.4494315	305.543536813	240
800000	-88295.5336536	294.848446778	240
850000	-88155.3698492	298.196063145	240
900000	-88797.5544187	302.384293536	240
950000	-88260.616527	298.365860124	240
1000000	-88641.7217478	295.012144228	240
1050000	-88563.9017518	300.867634027	240
1100000	-88304.1703548	300.453073745	240
1150000	-88323.5037888	303.747556533	240
1200000	-88872.7299496	300.294459696	240
1250000	-88490.5284588	299.851122889	240
1300000	-88367.7627909	295.983186026	240
1350000	-88539.7980409	300.860736408	240
1400000	-88824.333046	300.181471538	240
1450000	-88167.0065482	306.129711506	240
1500000	-88413.8240463	304.22934946	240
1550000	-88176.8416318	305.636386124	240
1600000	-87972.8300132	305.991378494	240
1650000	-88110.6470675	307.025123022	240
1700000	-88342.0356865	302.459798891	240
1750000	-88273.4567858	298.905128173	240
1800000	-88287.1113159	296.468693449	240
1850000	-88627.0595482	298.23060654	240
1900000	-88562.6580041	301.820906656	240
1950000	-87859.6582871	299.193290567	240
2000000	-88382.5132122	305.360857753	240
2050000	-88437.0534886	301.418173686	240
2100000	-88192.5488964	303.186219533	240
2150000	-88556.56077	303.780682384	240
2200000	-88175.9466384	290.85611977	240
2250000	-88945.8843863	303.29994521	240
2300000	-88428.8543981	295.024350223	240
2350000	-88460.4385533	300.585334249	240
2400000	-88181.8117281	295.147313374	240
2450000	-88897.3714993	303.220761575	240
2500000	-88253.1669089	302.594188371	240
