#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-88497.6791633	306.234562571	0
100000	-88948.4500611	305.118389664	252
150000	-88497.5793799	301.603349767	252
200000	-88266.9086016	291.709837379	252
250000	-89135.8605447	300.418344597	252
300000	-89297.343331	301.485112673	252
350000	-88795.0743185	299.228027337	252
400000	-88811.5118564	296.614103294	252
450000	-88735.6440743	300.079224327	252
500000	-88515.9958899	299.138561176	252
550000	-88971.6190942	295.049769333	252
600000	-88612.9544535	296.743769702	252
650000	-88821.8773472	297.727147583	252
700000	-88913.9191266	302.710429867	252
750000	-88678.0767559	304.340229803	252
800000	-88965.6716002	297.262683608	252
850000	-88000.64611	300.64977525	252
900000	-88454.6768498	300.299633462	252
950000	-88760.1291974	299.228047119	252
1000000	-88743.3337553	299.097428705	252
1050000	-88988.1604357	302.189648098	252
1100000	-89072.8589909	297.238940393	252
1150000	-88753.6796209	295.092420737	252
1200000	-88967.8798633	301.938902647	252
1250000	-88596.6856647	295.350250284	252
1300000	-88992.505529	302.580654443	252
1350000	-88507.3610655	297.204169323	252
1400000	-88370.0258909	296.594528339	252
1450000	-88680.7257725	299.391997	252
1500000	-88913.569788	297.526835393	252
1550000	-88624.2052673	299.927658	252
1600000	-88922.3151345	306.777933783	252
1650000	-88910.9437922	300.462714087	252
1700000	-89262.5846305	301.76778997	252
1750000	-89021.2802941	300.171992497	252
1800000	-88848.0500759	294.192005197	252
1850000	-88494.5213574	301.060076614	252
1900000	-88875.1061568	303.498360406	252
1950000	-88629.8912518	300.222916644	252
2000000	-89070.318849	301.638106192	252
2050000	-88877.5386537	299.898838266	252
2100000	-88691.7529656	291.80096451	252
2150000	-89131.2469775	308.080518284	252
2200000	-88327.0827551	297.478531587	252
2250000	-88392.7343047	306.175273273	252
2300000	-88462.2186921	301.727375194	252
2350000	-88923.797823	297.76287772	252
2400000	-88325.6972291	306.980189829	252
2450000	-88877.9376698	296.521038547	252
2500000	-88603.6787468	304.16785631	252
