#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-92915.2429884	302.350811059	0
100000	-92950.7607547	299.12493777	242
150000	-93200.3424223	299.793706724	242
200000	-92579.188937	301.760329708	242
250000	-92716.7856216	299.732495506	242
300000	-92534.0488709	298.94587102	242
350000	-92764.5559397	304.588154234	242
400000	-92735.4745403	299.175844107	242
450000	-93220.6868298	298.177925006	242
500000	-92197.3832084	298.8688405	242
550000	-92680.5014453	299.564391502	242
600000	-92938.8333169	303.745351538	242
650000	-93136.9360676	305.157477559	242
700000	-93072.5949292	296.599882509	242
750000	-92500.0898176	297.600464801	242
800000	-92879.7405224	305.731419272	242
850000	-92790.12079	299.52740376	242
900000	-92793.860853	306.072369374	242
950000	-92399.9694598	299.64247889	242
1000000	-92637.4632313	297.31087673	242
1050000	-92447.9712751	302.74361603	242
1100000	-92200.8241292	298.805006621	242
1150000	-92666.5251864	301.066685058	242
1200000	-92920.451713	299.395533332	242
1250000	-92518.3006219	300.771566647	242
1300000	-92555.5488592	302.070213963	242
1350000	-92409.2920434	299.339145082	242
1400000	-92744.812093	301.662564116	242
1450000	-92581.7395994	302.14534154	242
1500000	-92768.2170038	307.121033076	242
1550000	-92761.1548562	297.848120707	242
1600000	-92053.0163189	306.620568753	242
1650000	-92605.2177002	299.213585519	242
1700000	-92992.1877106	298.571014252	242
1750000	-92786.9571629	304.040843122	242
1800000	-92705.2451859	306.730220603	242
1850000	-92551.374918	302.60609764	242
1900000	-92837.6874377	293.682335432	242
1950000	-92745.3515476	296.33969777	242
2000000	-92076.0948773	298.107598023	242
2050000	-92443.1876712	294.437102745	242
2100000	-92537.388941	299.239616667	242
2150000	-91897.9771853	305.097731722	242
2200000	-92695.741899	301.875776584	242
2250000	-92939.9207086	297.727055279	242
2300000	-92365.8669296	300.487049392	242
2350000	-92893.048561	298.54332602	242
2400000	-92521.5170726	294.65966718	242
2450000	-92390.3819444	307.800434402	242
2500000	-92490.0673651	296.534566679	242
