#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-100337.398075	303.834243088	0
100000	-100419.521648	297.32053039	249
150000	-99715.5289329	297.664109081	246
200000	-100890.200895	304.038496717	246
250000	-100604.997055	305.55540751	247
300000	-99914.4437754	298.647796972	247
350000	-100101.291619	297.629278763	247
400000	-100291.108341	300.997616347	247
450000	-100492.616195	293.846238357	247
500000	-99708.1465841	300.813670088	247
550000	-100305.911562	300.172340422	247
600000	-100148.584924	296.432628244	247
650000	-100268.78378	299.571763005	247
700000	-100619.240182	297.681427944	247
750000	-100375.700569	301.075004546	247
800000	-100190.119137	300.063670414	247
850000	-100181.323723	301.325704745	247
900000	-100249.904538	302.298222956	247
950000	-100333.97774	300.235682633	248
1000000	-99969.5979033	297.444867671	248
1050000	-99944.3552126	298.77406631	248
1100000	-100261.225826	300.389869904	248
1150000	-100188.562578	299.703253387	248
1200000	-100381.01361	305.108444143	248
1250000	-100073.531874	301.081574447	248
1300000	-100311.131764	300.043026496	248
1350000	-100258.383692	299.104488649	248
1400000	-100014.661057	300.63564325	248
1450000	-100300.894915	297.422896307	248
1500000	-100630.612379	302.304664345	248
1550000	-99961.1503246	299.537759075	248
1600000	-100499.613984	300.262391617	248
1650000	-99821.5233301	298.342340533	248
1700000	-100447.306757	297.665946474	248
1750000	-100274.317148	299.914343913	248
1800000	-100003.137506	302.486683597	248
1850000	-100224.889561	296.488326788	248
1900000	-100672.902892	300.732104224	248
1950000	-100447.843574	295.115994691	248
2000000	-100519.259212	295.501034882	248
2050000	-99865.8961684	306.331534589	248
2100000	-100168.863476	300.632165025	248
2150000	-100146.355773	299.560524524	248
2200000	-100180.35772	298.932914748	248
2250000	-100247.690473	297.603609707	248
2300000	-100465.478373	300.879858529	248
2350000	-100355.99622	294.887540579	248
2400000	-100144.098822	305.190242658	248
2450000	-99838.1950917	298.991340659	248
2500000	-100243.77055	301.055216125	248
