#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-153971.269487	300.487072359	0
100000	-153957.521776	297.637170545	220
150000	-153947.018328	302.267524284	219
200000	-154201.074839	305.064830791	220
250000	-154073.395484	302.63413327	221
300000	-154369.929483	303.511937125	221
350000	-153830.50557	299.121417408	222
400000	-154330.810185	297.706513655	222
450000	-153852.910161	299.613942474	223
500000	-154542.399425	298.022625676	223
550000	-153187.442501	302.538925619	224
600000	-154297.815597	298.375306684	223
650000	-153542.961909	300.219442756	224
700000	-154323.533636	300.589708979	224
750000	-154458.666408	306.341472749	224
800000	-153607.368606	299.701002179	224
850000	-154690.028661	295.925266969	225
900000	-154012.517902	293.295897967	225
950000	-153638.855882	300.855888523	225
1000000	-154323.837242	297.503329448	225
1050000	-153952.953882	300.541664259	226
1100000	-153843.760914	300.779453537	226
1150000	-154559.251446	298.850073085	226
1200000	-153896.220483	299.405477264	226
1250000	-154496.493752	299.510009798	226
1300000	-154329.925438	299.543417303	226
1350000	-154564.95409	297.742167796	226
1400000	-153722.828633	299.53556679	227
1450000	-154031.779972	298.851826855	227
1500000	-154042.673916	296.192738004	227
1550000	-153668.214744	303.352242971	227
1600000	-154157.549921	302.629512929	227
1650000	-154772.149605	297.941368015	227
1700000	-153964.303955	302.573019029	227
1750000	-154204.620937	298.987248633	227
1800000	-154527.868543	300.667841134	227
1850000	-154136.504466	303.705583456	227
1900000	-154699.379795	297.20255983	227
1950000	-153543.923714	302.115325678	227
2000000	-154528.639777	298.239935478	227
2050000	-153717.327733	302.151088908	227
2100000	-154060.392682	299.319261735	227
2150000	-154674.73776	301.918517039	227
2200000	-154624.42748	296.782309648	227
2250000	-153987.993896	302.352952415	228
2300000	-154162.318699	300.899662755	228
2350000	-154072.244625	295.896804994	228
2400000	-153952.710036	295.048068902	228
2450000	-153736.375477	298.307210472	228
2500000	-154560.55823	296.628335551	228
